2019-09-18 00:03:33.1811 | INFO | System.Net.Http.HttpClient.IYandexMusicClient.LogicalHandler |  | Start processing HTTP request GET https://music.yandex.ru/handlers/playlist.jsx?owner=Musili.Ru&kinds=1005&light=true&lang=ru&external-domain=music.yandex.ru&overembed=false&ncrnd=0.5872919215747372 
2019-09-18 00:03:33.1932 | INFO | System.Net.Http.HttpClient.IYandexMusicClient.LogicalHandler |  | Start processing HTTP request GET https://music.yandex.ru/handlers/playlist.jsx?owner=Musili.Ru&kinds=1005&light=true&lang=ru&external-domain=music.yandex.ru&overembed=false&ncrnd=0.5872919215747372 
2019-09-18 00:03:33.2234 | INFO | System.Net.Http.HttpClient.IYandexMusicClient.ClientHandler |  | Sending HTTP request GET https://music.yandex.ru/handlers/playlist.jsx?owner=Musili.Ru&kinds=1005&light=true&lang=ru&external-domain=music.yandex.ru&overembed=false&ncrnd=0.5872919215747372 
2019-09-18 00:03:33.2246 | INFO | System.Net.Http.HttpClient.IYandexMusicClient.ClientHandler |  | Sending HTTP request GET https://music.yandex.ru/handlers/playlist.jsx?owner=Musili.Ru&kinds=1005&light=true&lang=ru&external-domain=music.yandex.ru&overembed=false&ncrnd=0.5872919215747372 
2019-09-18 00:03:33.8406 | INFO | System.Net.Http.HttpClient.IYandexMusicClient.ClientHandler |  | Received HTTP response after 615.2317ms - OK 
2019-09-18 00:03:33.8406 | INFO | System.Net.Http.HttpClient.IYandexMusicClient.ClientHandler |  | Received HTTP response after 615.2317ms - OK 
2019-09-18 00:03:33.8406 | INFO | System.Net.Http.HttpClient.IYandexMusicClient.LogicalHandler |  | End processing HTTP request after 674.6387ms - OK 
2019-09-18 00:03:33.8622 | INFO | System.Net.Http.HttpClient.IYandexMusicClient.LogicalHandler |  | End processing HTTP request after 674.6387ms - OK 
2019-09-18 00:03:34.0533 | INFO | System.Net.Http.HttpClient.IYandexMusicClient.LogicalHandler |  | Start processing HTTP request GET https://music.yandex.ru/api/v2.1/handlers/tracks?tracks=42199625,9431 
2019-09-18 00:03:34.0533 | INFO | System.Net.Http.HttpClient.IYandexMusicClient.LogicalHandler |  | Start processing HTTP request GET https://music.yandex.ru/api/v2.1/handlers/tracks?tracks=42199625,9431 
2019-09-18 00:03:34.0533 | INFO | System.Net.Http.HttpClient.IYandexMusicClient.ClientHandler |  | Sending HTTP request GET https://music.yandex.ru/api/v2.1/handlers/tracks?tracks=42199625,9431 
2019-09-18 00:03:34.0533 | INFO | System.Net.Http.HttpClient.IYandexMusicClient.ClientHandler |  | Sending HTTP request GET https://music.yandex.ru/api/v2.1/handlers/tracks?tracks=42199625,9431 
2019-09-18 00:03:34.1151 | INFO | System.Net.Http.HttpClient.IYandexMusicClient.ClientHandler |  | Received HTTP response after 50.9289ms - OK 
2019-09-18 00:03:34.1159 | INFO | System.Net.Http.HttpClient.IYandexMusicClient.ClientHandler |  | Received HTTP response after 50.9289ms - OK 
