2019-12-21 12:05:36.8171 | INFO | Musili.WebApi.Program |  | Init application... 
2019-12-21 12:07:48.6843 | INFO | Musili.WebApi.Program |  | Init application... 
2019-12-21 12:08:09.6399 | INFO | Musili.WebApi.Program |  | Init application... 
2019-12-21 12:09:12.6556 | INFO | Musili.WebApi.Program |  | Init application... 
2019-12-21 12:09:51.5129 | INFO | Musili.WebApi.Program |  | Init application... 
2019-12-21 12:09:55.9884 | INFO | Musili.WebApi.Services.Grabbers.Yandex.YandexTracksGrabber | http://localhost:57009/api/tracks | Load tracks from https://music.yandex.ru/users/music-blog/playlists/1459 
2019-12-21 12:09:56.1322 | INFO | Musili.WebApi.Services.Grabbers.Yandex.YandexTracksGrabber | http://localhost:57009/api/tracks | Load tracks from https://music.yandex.ru/users/music-blog/playlists/1459 
2019-12-21 12:09:56.5568 | INFO | Musili.WebApi.Services.Grabbers.Yandex.YandexTracksGrabber | http://localhost:57009/api/tracks | Tracks ids loaded, total: 50 
2019-12-21 12:09:56.5568 | INFO | Musili.WebApi.Services.Grabbers.Yandex.YandexTracksGrabber | http://localhost:57009/api/tracks | Tracks ids loaded, total: 50 
2019-12-21 12:11:59.7726 | INFO | Musili.WebApi.Program |  | Init application... 
2019-12-21 12:12:33.6538 | INFO | Musili.WebApi.Program |  | Init application... 
2019-12-21 12:13:36.5150 | INFO | Musili.WebApi.Program |  | Init application... 
2019-12-21 12:16:31.3568 | INFO | Musili.WebApi.Program |  | Init application... 
2019-12-21 12:17:04.4700 | INFO | Musili.WebApi.Program |  | Init application... 
2019-12-21 12:35:59.7547 | INFO | Musili.WebApi.Program |  | Init application... 
